Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
Amerika	root	n	_**n**_  America		reviewed	Ameriko	América					geografi, daygeo	Englisa (America), Fransesa (Amérique), Doycisa (Amerika), Rusisa (Америка “Amerika”), Espanisa (América), Arabisa (أَمْرِيكَا “amrika”), Parsisa (آمریکا “âmrikâ”), Hindisa (अमेरिका “amerikā”), Telugusa (అమెరికా “amerika”), Turkisa (Amerika), Swahilisa (Amerika), Indonesisa (Amerika), Pilipinasa (Amerika), Niponsa (アメリカ州 “Amerika xu”), Hangusa (아메리카 “Amerika”), Putunhwa (亞美利加 “yameylijya”)	leferesmi			
amerikyum	root	n	_**n**_ americium			americio	americio					kimikali monlari	Englisa (americium), Espanisa (americio), Fransesa (américium), Rusisa (америций “ameristi”), Doycisa (Americium), Indonesisa (amerisium), Pilipinasa (amerisyo), Hindisa (अमेरिशियम “amerixiyam”), Arabisa (أَمْرِيكِيُوم  “amrikiyum”), アメリシウム (amerixiumu), Telugusa (అమెరీషియం “amerixiyam”), Turkisa (amerikyum), Hangusa (아메리슘 “amerixum”), Vyetnamsa (americi), Parsisa (آمریکیوم “âmerikiyom”), Swahilisa (ameriki), Pilipinasa (amerisyo)				
ametisto	root	n	_**n**_ amethyst			ametisto	amatista						Englisa (amethyst), Espanisa (amatista), Fransesa (améthyste), Rusisa (аметист “ametist”), Doycisa (Amethyst), Indonesisa (ametis), Pilipinasa (amatista), Hindisa (अमेथिस्ट “amethist”, एमिथिस्ट “emithist”), Niponsa (アメシスト “amexisuto”), Telugusa (అమెథిస్ట్ “ametist”), Vyetnamsa (ametit), Swahilisa (amethisto)				
amiku	root	t	_**adj/adv**_ deep, deeply, profound, profoundly		reviewed	profunda; profunde	hondo, profundo			posamiku			Arabisa (عميق “ʿamīq”), Parsisa (عمیق‎ “ʿamiq”)	leferesmi			
amino	root	n	_**n**_ amino, amine			amino	amino, amina						Englisa (amino), Indonesisa, Pilipinasa, Swahilisa, Espanisa (amino-), Doycisa, Turkisa, Fransesa (aminé), Rusisa (амино- “amino-”), Hindisa (अमीनो “amino”), Arabisa (أميني “amini”), Niponsa (アミノ “amino”), Telugusa (ఎమైనో “emeno”), Hangusa (아미노 “amino”), Vyetnamsa (amino, amin), Parsisa (آمینه, -آمین)				
amiru	root	n/f.oro.a	_**n**_  commandment; _**v.ambi.a**_ command, order, control		reviewed	komando, ordono; komandi, ordoni	mando, mandamiento; mandar, ordenar, controlar						Arabisa (أمر “amr”), Turkisa (emir), Swahilisa (amri, -amuru)	leferesmi			
amonyako	root	n	_**n**_ ammonia			amoniako	amoníaco						Englisa (ammonia), Espanisa (amoníaco), Fransesa (ammoniac), Rusisa (аммиак “amyak”), Doycisa (Ammoniak), Indonesisa (amonia), Swahilisa, Pilipinasa (amonya), Putunhwa (阿摩尼亚 “amoniya”), Hindisa (अमोनिया “amoniya”), Arabisa (أمونيا “amunya”), Niponsa (アンモニア “anmonia”), Telugusa (మ్మోనియా “amoniya”), Turkisa (amonyak), Hanugsa (암모니아 “ammonia”), Vyetnamsa (amoniac), Parsisa (آمونیاک‎ “amuniyak”), 				
amperi	root	n	ampere, amp			ampero	amperio	Ampere					Englisa (ampere), Espanisa (amperio), Fransesa (ampère), Rusisa (ампер “amper”), Doycisa (Ampere), Indonesisa (ampere), Pilipinasa (amperyo), Putunhwa (安培 “anpey”), Putunhwa (安培 “anpey”), Arabisa (أَمْبِير “ambir”), Niponsa (アンペア “anpea”), Telugusa (ఆంపియర్ “ampiyar”), Turkisa (amper), Hangusa (암페어 “ampe-o”), Vyetnamsa (ampe), Parsisa (آمپر “amper”), Swahilisa (ampea)		ampère	ампер	安培
ampula	root	n	ampoule, ampule, ampul			ampolo	ampolla	Ampulle					Englisa (ampoule), Espanisa (ampolla), Fransesa (ampoule), Rusisa (ампула “ampula”), Doycisa (Ampulle), Indonesisa (ampul), Putunhwa (安瓿 “anbu”), Hindisa (एम्प्यूल “empyul”), Arabisa (أَمْبُولَة “ambula”), Niponsa (アンプル “ampuru”), Turkisa (ampul), Hangusa (앰풀 “empul”), Vyetnamsa (ămpun), Parsisa (آمپول “ampul”)				
amusa	root	n/f.oro.a	_**n**_  amusement, entertainment, fun; _**v.ambi.a**_ amuse, entertain		reviewed	amuzo; amuzi	diversión, entretenimiento; divertir, entretener			posamusa			Englisa (amusement), Fransesa (amusant), Doycisa (amüsant), Arabisa (مسل “masal”)	leferesmi			
anakonda	root	n	anaconda, _Eunectes_			anakondo	anaconda					hewan	Englisa (anaconda), Espanisa (anaconda), Fransesa (anaconda), Rusisa (анаконда “anakonda”), Doycisa (Anakonda), Indonesisa (anakonda), Pilipinasa (anakonda), Arabisa (أَنَاكُنْدَة “anakonda”), Niponsa (アナコンダ “anakonda”), Tamilsa (ஆனக்கொண்டா “anakonta”), Turkisa (anakonda), Vyetnamsa (trăn anaconda), Hangusa (아나콘다 “anakonda”), Parsisa (آناکوندا “anakonda”)				
analisi	root	n/f.oro.a	_**n**_  analysis; _**v.ambi.a**_ analyze		reviewed	analizo; analizi	análisis; analizar						Englisa (analysis), Fransesa (analyse), Doycisa (Analyse), Rusisa (анализ “analiz”), Espanisa (análisis), Indonesisa (analisis), Turkisa (analiz), Pilipinasa (analisahin)	leferesmi			
ananas	root	n	_**n**_  pineapple		reviewed	ananaso	piña						Arabisa (أناناس “ananas”), Turkisa (ananas), Parsisa (آناناس “ananas”), Hindisa (अनानास “ananas”), Indonesisa (nanas), Swahilisa (nanasi), Fransesa (ananas), Doycisa (Ananas), Espanisa (ananá) 	leferesmi			
anar	root	n	_**n**_ pomegranate		reviewed	granato	granada					yamxey, fruta	Hindisa (अनार “anār”), Parsisa (انار‎ “anâr”), Turkisa (nar)	leferesmi			
ancovi	root	n	_**n**_ anchovy, _Engraulidae_			engraŭlo, anĉovo	anchoa, boquerón					hewan	Englisa (anchovy), Fransesa (anchois), Rusisa (анчоус “ancows”), Arabisa (أَنْشُوفة “anxufa”), Niponsa (アンチョビ “ancobi”), Parsisa (آنچوی “ancovi”)				
