Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
ameba,root,n,TRUE,amoeba,,,amebo,"ameba, amiba",,,,,,"Doycisa (Amöbe), Englisa (amoeba), Espanisa (ameba), Fransesa (amibe), Rusisa (амёба “amyoba”), Putunhwa (阿米巴 “āmǐbā”), Niponsa (アメーバ “amēba”), Hangusa (아메바 “ameba”), Vyetnamsa (amip), Hindisa (अमीबा “amībā”), Arabisa (أَمِيبَا “ʾamībā”), Swahilisa (amiba), Parsisa (امیب “amib”), Turkisa (amip), Indonesisa (ameba, amuba, amoeba), Pilipinasa (amoeba, ameba)",,,,
amen,root,il,TRUE,amen,,reviewed,amen,amén,,,,,dini,"Ivrisa (אָמֵן‎ “ʾāmēn”), Englisa (amen), Fransesa (amen), Doycisa (amen), Rusisa (аминь “amin”), Espanisa (amén), Hindisa (आमेन “āmen”, आमीन “āmīn”), Putunhwa (阿门 “āmén”), Niponsa (アーメン “āmen”), Hangusa (아멘 “amen”), Arabisa (آمْيْن‎ “ʾāmyn”), Parsisa (آمین “âmin”), Indonesisa (amin), Turkisa (amin), Pilipinasa (amen)",leferesmi,,,
amerikyum,root,n,TRUE,americium,,,americio,"americio, Am",,,,,kimikali monlari,"Englisa (americium), Espanisa (americio), Fransesa (américium), Rusisa (америций “ameristi”), Doycisa (Americium), Indonesisa (amerisium), Pilipinasa (amerisyo), Hindisa (अमेरिशियम “amerixiyam”), Arabisa (أَمْرِيكِيُوم  “amrikiyum”), アメリシウム (amerixiumu), Telugusa (అమెరీషియం “amerixiyam”), Turkisa (amerikyum), Hangusa (아메리슘 “amerixum”), Vyetnamsa (americi), Parsisa (آمریکیوم “âmerikiyom”), Swahilisa (ameriki), Pilipinasa (amerisyo)",,,,
ametisto,root,n,TRUE,amethyst,,,ametisto,amatista,,,,,,"Englisa (amethyst), Espanisa (amatista), Fransesa (améthyste), Rusisa (аметист “ametist”), Doycisa (Amethyst), Indonesisa (ametis), Pilipinasa (amatista), Hindisa (अमेथिस्ट “amethist”, एमिथिस्ट “emithist”), Niponsa (アメシスト “amexisuto”), Telugusa (అమెథిస్ట్ “ametist”), Vyetnamsa (ametit), Swahilisa (amethisto)",,,,
amiku,root,t,TRUE,"deep, deeply, profound, profoundly",,reviewed,profunda; profunde,"hondo, profundo",,,posamiku,,,"Arabisa (عميق “ʿamīq”), Parsisa (عمیق‎ “ʿamiq”)",leferesmi,,,
amino,root,n,TRUE,"amino, amine",,,amino,"amino, amina",,,,,,"Englisa (amino), Indonesisa, Pilipinasa, Swahilisa, Espanisa (amino-), Doycisa, Turkisa, Fransesa (aminé), Rusisa (амино- “amino-”), Hindisa (अमीनो “amino”), Arabisa (أميني “amini”), Niponsa (アミノ “amino”), Telugusa (ఎమైనో “emeno”), Hangusa (아미노 “amino”), Vyetnamsa (amino, amin), Parsisa (آمینه, -آمین)",,,,
amiru,root,n/f.oro.a,TRUE,"commandment; command, order",,reviewed,"komando, ordono; komandi, ordoni","orden, mando, mandamiento; mandar, ordenar, controlar",,,,,,"Arabisa (أمر “amr”), Turkisa (emir), Swahilisa (amri, -amuru)",leferesmi,,,
amonyako,root,n,TRUE,ammonia,,,amoniako,amoníaco,,,,,,"Englisa (ammonia), Espanisa (amoníaco), Fransesa (ammoniac), Rusisa (аммиак “amyak”), Doycisa (Ammoniak), Indonesisa (amonia), Swahilisa, Pilipinasa (amonya), Putunhwa (阿摩尼亚 “amoniya”), Hindisa (अमोनिया “amoniya”), Arabisa (أمونيا “amunya”), Niponsa (アンモニア “anmonia”), Telugusa (మ్మోనియా “amoniya”), Turkisa (amonyak), Hanugsa (암모니아 “ammonia”), Vyetnamsa (amoniac), Parsisa (آمونیاک‎ “amuniyak”), ",,,,
amperi,root,n,TRUE,"ampere, amp",,,ampero,"_ampere_, amperio, A",Ampere,,,,,"Englisa (ampere), Espanisa (amperio), Fransesa (ampère), Rusisa (ампер “amper”), Doycisa (Ampere), Indonesisa (ampere), Pilipinasa (amperyo), Putunhwa (安培 “anpey”), Putunhwa (安培 “anpey”), Arabisa (أَمْبِير “ambir”), Niponsa (アンペア “anpea”), Telugusa (ఆంపియర్ “ampiyar”), Turkisa (amper), Hangusa (암페어 “ampe-o”), Vyetnamsa (ampe), Parsisa (آمپر “amper”), Swahilisa (ampea)",,ampère,ампер,安培
ampula,root,n,TRUE,"ampoule, ampule, ampul",,,ampolo,ampolla,Ampulle,,,,,"Englisa (ampoule), Espanisa (ampolla), Fransesa (ampoule), Rusisa (ампула “ampula”), Doycisa (Ampulle), Indonesisa (ampul), Putunhwa (安瓿 “anbu”), Hindisa (एम्प्यूल “empyul”), Arabisa (أَمْبُولَة “ambula”), Niponsa (アンプル “ampuru”), Turkisa (ampul), Hangusa (앰풀 “empul”), Vyetnamsa (ămpun), Parsisa (آمپول “ampul”)",,,,
